,Start,End,Dist
0,Shaheed Sthal,Hindon River,1.0
1,Hindon River,Arthala,1.5
2,Arthala,Mohan Nagar,0.7000000000000002
3,Mohan Nagar,Shyam park,1.2999999999999998
4,Shyam park,Major Mohit Sharma,1.2000000000000002
5,Major Mohit Sharma,Raj Bagh,1.2000000000000002
6,Raj Bagh,Shaheed Nagar,1.299999999999999
7,Shaheed Nagar,Dilshad Garden,1.200000000000001
8,Dilshad Garden,Jhil Mil,0.9000000000000004
9,Jhil Mil,Mansarovar Park,1.0999999999999996
10,Mansarovar Park,Shahdara,1.0999999999999996
11,Shahdara,Welcome,1.1999999999999993
12,Welcome,Seelampur,1.1000000000000014
13,Seelampur,Shastri Park,1.5999999999999979
14,Shastri Park,Kashmere Gate,2.1000000000000014
15,Kashmere Gate,Tis Hazari,1.1999999999999993
16,Tis Hazari,Pul Bangash,0.9000000000000021
17,Pul Bangash,Pratap Nagar,0.7999999999999972
18,Pratap Nagar,Shastri Nagar,1.7000000000000028
19,Shastri Nagar,Inderlok,1.1999999999999993
20,Inderlok,Kanhaiya Nagar,1.1999999999999993
21,Kanhaiya Nagar,Keshav Puram,0.6999999999999993
22,Keshav Puram,Netaji Subash Place,1.1999999999999993
23,Netaji Subash Place,Kohat Enclave,1.2000000000000028
24,Kohat Enclave,Pitam Pura,1.0
25,Pitam Pura,Rohini East,0.7999999999999972
26,Rohini East,Rohini West,1.3000000000000007
27,Rohini West,Rithala,1.0000000000000036
28,Samaypur Badli,Rohini Sector 18-19,0.8
29,Rohini Sector 18-19,Haiderpur Badli Mor,1.3
30,Haiderpur Badli Mor,Jahangirpuri,1.2999999999999998
31,Jahangirpuri,Adarsh Nagar,1.3000000000000003
32,Adarsh Nagar,Azadpur,1.5
33,Azadpur,Model Town,1.3999999999999995
34,Model Town,Guru Tegh Bahadur Nagar,1.4000000000000004
35,Guru Tegh Bahadur Nagar,Vishwavidyalaya,0.8000000000000007
36,Vishwavidyalaya,Vidhan Sabha,1.0
37,Vidhan Sabha,Civil Lines,1.299999999999999
38,Civil Lines,Kashmere Gate,1.0999999999999996
39,Kashmere Gate,Chandni Chowk,1.1000000000000014
40,Chandni Chowk,Chawri Bazar,1.0
41,Chawri Bazar,New Delhi,0.8000000000000007
42,New Delhi,Rajiv Chowk,1.0999999999999979
43,Rajiv Chowk,Patel Chowk,1.3000000000000007
44,Patel Chowk,Central Secretariat,0.8999999999999986
45,Central Secretariat,Udyog Bhawan,0.3000000000000007
46,Udyog Bhawan,Lok Kalyan Marg,1.6000000000000014
47,Lok Kalyan Marg,Jor Bagh,1.1999999999999993
48,Jor Bagh,Dilli Haat INA,1.3000000000000007
49,Dilli Haat INA,AIIMS,0.8000000000000007
50,AIIMS,Green Park,1.0
51,Green Park,Hauz Khas,1.7999999999999972
52,Hauz Khas,Malviya Nagar,1.7000000000000028
53,Malviya Nagar,Saket,0.8999999999999986
54,Saket,Qutab Minar,1.6999999999999993
55,Qutab Minar,Chhattarpur,1.3000000000000007
56,Chhattarpur,Sultanpur,1.6000000000000014
57,Sultanpur,Ghitorni,1.2999999999999972
58,Ghitorni,Arjan Garh,2.700000000000003
59,Arjan Garh,Guru Dronacharya,2.299999999999997
60,Guru Dronacharya,Sikandarpur,1.0
61,Sikandarpur,MG Road,1.2000000000000028
62,MG Road,IFFCO Chowk,1.1000000000000014
63,IFFCO Chowk,Huda City Centre,1.5
64,Dwarka Sector 21,Dwarka Sector 8,1.7
65,Dwarka Sector 8,Dwarka Sector 9,1.0000000000000002
66,Dwarka Sector 9,Dwarka Sector 10,1.0999999999999996
67,Dwarka Sector 10,Dwarka Sector 11,1.0
68,Dwarka Sector 11,Dwarka Sector 12,1.0
69,Dwarka Sector 12,Dwarka Sector 13,0.9000000000000004
70,Dwarka Sector 13,Dwarka Sector 14,0.8999999999999995
71,Dwarka Sector 14,Dwarka,1.5
72,Dwarka,Dwarka Mor,1.0999999999999996
73,Dwarka Mor,Nawada,1.200000000000001
74,Nawada,Uttam Nagar West,1.0
75,Uttam Nagar West,Uttam Nagar East,1.0
76,Uttam Nagar East,Janak Puri West,1.299999999999999
77,Janak Puri West,Janak Puri East,1.0
78,Janak Puri East,Tilak Nagar,1.0
79,Tilak Nagar,Subhash Nagar,0.9000000000000021
80,Subhash Nagar,Tagore Garden,0.8999999999999986
81,Tagore Garden,Rajouri Garden,1.1000000000000014
82,Rajouri Garden,Ramesh Nagar,1.0
83,Ramesh Nagar,Moti Nagar,1.1999999999999993
84,Moti Nagar,Kirti Nagar,1.0
85,Kirti Nagar,Shadipur,0.6999999999999993
86,Shadipur,Patel Nagar,1.3000000000000007
87,Patel Nagar,Rajendra Place,0.8999999999999986
88,Rajendra Place,Karol Bagh,1.0
89,Karol Bagh,Jhandewalan,1.1999999999999993
90,Jhandewalan,R K Ashram Marg,1.0
91,R K Ashram Marg,Rajiv Chowk,1.2000000000000028
92,Rajiv Chowk,Barakhamba,0.6999999999999993
93,Barakhamba,Mandi House,1.0
94,Mandi House,Supreme Court (Pragati Maidan),0.8000000000000007
95,Supreme Court (Pragati Maidan),Indraprastha,0.7999999999999972
96,Indraprastha,Yamuna Bank,1.8000000000000043
97,Yamuna Bank,Akshardham,1.2999999999999972
98,Akshardham,Mayur Vihar Phase-1,1.7999999999999972
99,Mayur Vihar Phase-1,Mayur Vihar Extention,1.2000000000000028
100,Mayur Vihar Extention,New Ashok Nagar,0.8999999999999986
101,New Ashok Nagar,Noida Sector 15,1.0
102,Noida Sector 15,Noida Sector 16,1.1000000000000014
103,Noida Sector 16,Noida Sector 18,1.1000000000000014
104,Noida Sector 18,Botanical Garden,1.1000000000000014
105,Botanical Garden,Golf Course,1.1999999999999957
106,Golf Course,Noida City Center,1.3000000000000043
107,Noida City Center,Noida Sector 34,0.8999999999999986
108,Noida Sector 34,Noida Sector 52,1.1999999999999957
109,Noida Sector 52,Noida Sector 61,1.2000000000000028
110,Noida Sector 61,Noida Sector 59,1.0
111,Noida Sector 59,Noida Sector 62,1.2000000000000028
112,Yamuna Bank,Laxmi Nagar,1.3
113,Laxmi Nagar,Nirman Vihar,1.0999999999999999
114,Nirman Vihar,Preet Vihar,1.0
115,Preet Vihar,Karkar Duma,1.1999999999999997
116,Karkar Duma,Anand Vihar,1.1000000000000005
117,Anand Vihar,Kaushambi,0.7999999999999998
118,Kaushambi,Vaishali,1.5999999999999996
119,Ashok Park Main,Satguru Ram Singh Marg,1.1
120,Satguru Ram Singh Marg,Kirti Nagar,1.0
121,Inderlok,Ashok Park Main,1.4
122,Ashok Park Main,Punjabi Bagh,0.8999999999999999
123,Punjabi Bagh,Shivaji Park,1.6
124,Shivaji Park,Madipur,1.1
125,Madipur,Paschim Vihar (East),0.7000000000000002
126,Paschim Vihar (East),Paschim Vihar (West),1.0
127,Paschim Vihar (West),Peera Garhi,0.8999999999999995
128,Peera Garhi,Udyog Nagar,1.200000000000001
129,Udyog Nagar,Maharaja Surajmal Stadium,0.6999999999999993
130,Maharaja Surajmal Stadium,Nangloi,0.8000000000000007
131,Nangloi,Nangloi Railway Station,0.8999999999999986
132,Nangloi Railway Station,Rajdhani Park,1.200000000000001
133,Rajdhani Park,Mundka,1.299999999999999
134,Mundka,Mundka Industrial Area (MIA),1.3000000000000007
135,Mundka Industrial Area (MIA),Ghevra Metro station,2.1000000000000014
136,Ghevra Metro station,Tikri Kalan,1.7999999999999972
137,Tikri Kalan,Tikri Border,1.3000000000000007
138,Tikri Border,Pandit Shree Ram Sharma,1.3000000000000007
139,Pandit Shree Ram Sharma,Bahdurgarh City,1.5
140,Bahdurgarh City,Brigadier Hoshiar Singh,1.8000000000000007
141,Kashmere Gate,Lal Quila,1.5
142,Lal Quila,Jama Masjid,0.7999999999999998
143,Jama Masjid,Delhi Gate,1.4000000000000004
144,Delhi Gate,ITO,1.2999999999999998
145,ITO,Mandi House,0.7999999999999998
146,Mandi House,Janpath,1.4000000000000004
147,Janpath,Central Secretariat,1.2999999999999998
148,Central Secretariat,Khan Market,2.0999999999999996
149,Khan Market,Jawaharlal Nehru Stadium,1.4000000000000004
150,Jawaharlal Nehru Stadium,Jangpura,0.9000000000000004
151,Jangpura,Lajpat Nagar,1.5
152,Lajpat Nagar,Moolchand,0.6999999999999993
153,Moolchand,Kailash Colony,1.299999999999999
154,Kailash Colony,Nehru Place,1.0
155,Nehru Place,Kalkaji Mandir,0.8000000000000007
156,Kalkaji Mandir,Govind Puri,0.6999999999999993
157,Govind Puri,Okhla,1.1000000000000014
158,Okhla,Jasola,0.8999999999999986
159,Jasola,Sarita Vihar,1.2000000000000028
160,Sarita Vihar,Mohan Estate,1.1999999999999993
161,Mohan Estate,Tughlakabad,1.8999999999999986
162,Tughlakabad,Badarpur Border,1.1000000000000014
163,Badarpur Border,Sarai,2.5
164,Sarai,N.H.P.C. Chowk,1.5999999999999979
165,N.H.P.C. Chowk,Mewala Maharajpur,0.9000000000000021
166,Mewala Maharajpur,Sector 28 Faridabad,1.1999999999999993
167,Sector 28 Faridabad,Badkal Mor,1.7000000000000028
168,Badkal Mor,Old Faridabad,1.1999999999999957
169,Old Faridabad,Neelam Chowk Ajronda,1.6000000000000014
170,Neelam Chowk Ajronda,Bata Chowk,1.2999999999999972
171,Bata Chowk,Escorts Mujesar,1.8000000000000043
172,Escorts Mujesar,Sant Surdas - Sihi,1.6999999999999957
173,Sant Surdas - Sihi,Raja Nahar Singh,1.7000000000000028
174,Janak Puri West,Dabri Mor - Janakpuri South,2.0
175,Dabri Mor - Janakpuri South,Dashrath Puri,1.1
176,Dashrath Puri,Palam,1.4999999999999996
177,Palam,Sadar Bazaar Cantonment,2.6000000000000005
178,Sadar Bazaar Cantonment,Terminal 1 IGI Airport,1.7000000000000002
179,Terminal 1 IGI Airport,Shankar Vihar,1.799999999999999
180,Shankar Vihar,Vasant Vihar,2.1000000000000014
181,Vasant Vihar,Munirka,1.1999999999999993
182,Munirka,RK Puram,1.4000000000000004
183,RK Puram,IIT Delhi,0.9000000000000004
184,IIT Delhi,Hauz Khas,1.1999999999999993
185,Hauz Khas,Panchsheel Park,1.5
186,Panchsheel Park,Chirag Delhi,0.8999999999999986
187,Chirag Delhi,Greater Kailash,0.9000000000000021
188,Greater Kailash,Nehru Enclave,1.3000000000000007
189,Nehru Enclave,Kalkaji Mandir,0.8999999999999986
190,Kalkaji Mandir,Okhla NSIC,0.8000000000000007
191,Okhla NSIC,Sukhdev Vihar,1.0999999999999979
192,Sukhdev Vihar,JAMIA MILLIA ISLAMIA,1.2000000000000028
193,JAMIA MILLIA ISLAMIA,Okhla Vihar,0.5
194,Okhla Vihar,Jasola Vihar Shaheen Bagh,1.7999999999999972
195,Jasola Vihar Shaheen Bagh,Kalindi Kunj,1.4000000000000021
196,Kalindi Kunj,Okhla Bird Sanctuary,1.5999999999999979
197,Okhla Bird Sanctuary,Botanical Garden,1.7000000000000028
198,Majlis Park,Azadpur,2.1
199,Azadpur,Shalimar Bagh,1.6
200,Shalimar Bagh,Netaji Subash Place,1.3999999999999995
201,Netaji Subash Place,Shakurpur,1.2000000000000002
202,Shakurpur,Punjabi Bagh West,1.4000000000000004
203,Punjabi Bagh West,ESI BASAI DARAPUR,2.499999999999999
204,ESI BASAI DARAPUR,Rajouri Garden,1.1000000000000014
205,Rajouri Garden,Maya Puri,1.5
206,Maya Puri,Naraina Vihar,1.5
207,Naraina Vihar,Delhi Cantt,1.8000000000000007
208,Delhi Cantt,Durgabai Deshmukh South Campus,3.599999999999998
209,Durgabai Deshmukh South Campus,Sir Vishweshwaraiah Moti Bagh,1.3000000000000007
